ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp3	s		Total Exposure Time, Hi Energy Channel 3, ~1.11 keV, mapped	Total Exposure Time, Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection		Support		Temporal									
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fexp3_plasma	s		Time, Hi Energy Channel 3, ~1.11 keV, X-Y image	Time, Hi Energy Channel 3, ~1.11 keV, X-Y image		Support		Temporal									
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb3			Samples/Pixel, Hi Energy Channel 3, ~1.11 keV, mapped	Samples per Pixel, Hi Energy Channel 3, ~1.11 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Scalar								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Numb3_plasma			Samples/Pixel, Hi Energy Channel 3, ~1.11 keV, X-Y image	Samples per Pixel, Hi Energy Channel 3, ~1.11 keV, X-Y image	NeutralAtomImages	Particle	Atom	NumberFlux	Scalar								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener4	keV		Hi Energy Channel 4, ~1.74 keV, mapped	Hi Energy Channel 4, ~1.74 keV, mapped image, Molleweide projection		Particle	Atom	Energy	Maximum								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Ener4_plasma	keV		Flux Variance, Hi Energy Channel 4, ~1.74 keV, X-Y image	Flux Variance, Hi Energy Channel 4, ~1.74 keV, X-Y image		Particle	Atom	Energy	Maximum								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux4	(cm^2 s sr keV)^-1		Differential Flux, Hi Energy Channel 4, ~1.74 keV, mapped	Differential Flux, Hi Energy Channel 4, ~1.74 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Differential								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Flux4_plasma	(cm^2 s sr keV)^-1		Differential Flux, Hi Energy Channel 4, ~1.74 keV, X-Y image	Differential Flux, Hi Energy Channel 4, ~1.74 keV, X-Y image	NeutralAtomImages	Particle	Atom	NumberFlux	Differential								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr4			S/N Ratio, Hi Energy Channel 4, ~1.74 keV, mapped	Signal to Noise Ratio, Hi Energy Channel 4, ~1.74 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Ratio								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fsnr4_plasma			S/N Ratio, Hi Energy Channel 4, ~1.74 keV, X-Y image	Signal to Noise Ratio, Hi Energy Channel 4, ~1.74 keV, X-Y image	NeutralAtomImages	Particle	Atom	NumberFlux	Ratio								
ibex_h3_ena_hi_r02_cg_nosp_omni_6mo	Fvar4	(cm^2 s sr keV)^-2		Flux Variance, Hi Energy Channel 4, ~1.74 keV, mapped	Flux Variance, Hi Energy Channel 4, ~1.74 keV, mapped image, Molleweide projection	NeutralAtomImages	Particle	Atom	NumberFlux	Variance								
