BAR_1K_L2_MAGN	10.48322/thmx-6507	spase://NASA/NumericalData/BARREL/1K/Magnetometer/L2/PT0.25S	yes	
BAR_1K_L2_MSPC	10.48322/zeqt-yf54	spase://NASA/NumericalData/BARREL/1K/MediumSpectra/L2/PT4S	yes	
BAR_1K_L2_RCNT	10.48322/5w2z-j063	spase://NASA/NumericalData/BARREL/1K/RateCounter/L2/PT4S	yes	
BAR_1K_L2_SSPC	10.48322/vgdv-8673	spase://NASA/NumericalData/BARREL/1K/SlowSpectra/L2/PT32S	yes	
BAR_1M_L2_EPHM	10.48322/mkdz-qy48	spase://NASA/NumericalData/BARREL/1M/Ephemeris/L2/PT4S	yes	
BAR_1M_L2_FSPC	10.48322/wkna-7f79	spase://NASA/NumericalData/BARREL/1M/FastSpectra/L2/PT0.05S	yes	
BAR_1M_L2_HKPG	10.48322/jvbc-xw61	spase://NASA/NumericalData/BARREL/1M/Housekeeping/L2/PT40S	yes	
BAR_1M_L2_MAGN	10.48322/f4ga-sc28	spase://NASA/NumericalData/BARREL/1M/Magnetometer/L2/PT0.25S	yes	
BAR_1M_L2_MSPC	10.48322/syaa-pp39	spase://NASA/NumericalData/BARREL/1M/MediumSpectra/L2/PT4S	yes	
BAR_1M_L2_RCNT	10.48322/dvng-1e34	spase://NASA/NumericalData/BARREL/1M/RateCounter/L2/PT4S	yes	
BAR_1M_L2_SSPC	10.48322/np9s-6d14	spase://NASA/NumericalData/BARREL/1M/SlowSpectra/L2/PT32S	yes	
BAR_1N_L2_EPHM	10.48322/27q1-4486	spase://NASA/NumericalData/BARREL/1N/Ephemeris/L2/PT4S	yes	
BAR_1N_L2_FSPC	10.48322/vaed-8q27	spase://NASA/NumericalData/BARREL/1N/FastSpectra/L2/PT0.05S	yes	
BAR_1N_L2_HKPG		spase://NASA/NumericalData/BARREL/1N/Housekeeping/L2/PT40S	no	Incorrect CDAWeb AccessInformation
BAR_1N_L2_MAGN	10.48322/p356-6j08	spase://NASA/NumericalData/BARREL/1N/Magnetometer/L2/PT0.25S	yes	
BAR_1N_L2_MSPC	10.48322/3th0-gz04	spase://NASA/NumericalData/BARREL/1N/MediumSpectra/L2/PT4S	yes	
BAR_1N_L2_RCNT	10.48322/ntk5-gx95	spase://NASA/NumericalData/BARREL/1N/RateCounter/L2/PT4S	yes	
BAR_1N_L2_SSPC	10.48322/jysk-p094	spase://NASA/NumericalData/BARREL/1N/SlowSpectra/L2/PT32S	yes	
BAR_1O_L2_EPHM	10.48322/h7g5-qk94	spase://NASA/NumericalData/BARREL/1O/Ephemeris/L2/PT4S	yes	
BAR_1O_L2_FSPC	10.48322/t156-7k66	spase://NASA/NumericalData/BARREL/1O/FastSpectra/L2/PT0.05S	yes	
